Product Id,Product Name,Sub-Category Id,Unit CP,Unit SP
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",1,104.784,91.6859999999999
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1,104.0428,102.833
FUR-BO-10000362,Sauder Inglewood Library Bookcases,1,131.6546,119.685999999999
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,1,40.8072,48.58
FUR-BO-10000711,"Hon Metal Bookcases, Gray",1,51.8154,70.98
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,1,168.8232,136.6664
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,1,108.881999999999,102.833
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1,44.1864,46.512
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",1,93.9114,30.294
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",1,106.0938,111.333
FUR-BO-10001608,"Hon Metal Bookcases, Black",1,53.235,48.2664
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,1,66.2844,84.98
FUR-BO-10001798,Bush Somerset Collection Bookcase,1,110.023199999999,130.98
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1,210.686,240.784
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1,143.2722,128.784
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1,100.4134,102.833
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",1,171.0958,72.294
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",1,132.5212,119.833
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,1,405.7938,425.833
FUR-BO-10002268,Sauder Barrister Bookcases,1,65.5938,64.784
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1,193.125199999999,177.4664
FUR-BO-10002598,"Hon Metal Bookcases, Putty",1,50.3958,70.98
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1,196.685999999999,224.784
FUR-BO-10002824,Bush Mission Pointe Library,1,120.783999999999,102.6664
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,1,61.455,81.94
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",1,138.4938,145.333
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",1,110.0232,91.686
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1,104.6318,97.733
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,1,198.882,176.784
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1,405.1212,430.98
FUR-BO-10003433,Sauder Cornerstone Collection Library,1,28.8114,30.98
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",1,77.7546,80.784
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",1,53.3416,57.98
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,1,75.735,100.98
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",1,170.1546,220.98
FUR-BO-10003893,Sauder Camden County Collection Library,1,91.984,97.733
